"MD1","LB1","UB1","MD2","LB2","UB2","SE1","Z1","SE2","Z2","SIG1","SIG2"
-0.53,-1.58,0.52,-0.56,-1.77,0.65,0.535714285714286,-0.989333333333333,0.61734693877551,-0.907107438016529,0,0
-0.62,-1.54,0.31,-0.67,-1.62,0.28,0.471938775510204,-1.31372972972973,0.48469387755102,-1.38231578947368,0,0
-0.86,-1.84,0.13,-0.87,-1.83,0.08,0.502551020408163,-1.71126903553299,0.487244897959184,-1.7855497382199,0,0
-1.55,-2.53,-0.57,-1.59,-2.56,-0.61,0.5,-3.1,0.497448979591837,-3.19630769230769,1,1
-0.08,-0.79,0.63,-0.12,-0.99,0.76,0.362244897959184,-0.220845070422535,0.446428571428571,-0.2688,0,0
-0.32,-1.11,0.46,-0.32,-1.19,0.56,0.400510204081633,-0.798980891719745,0.446428571428571,-0.7168,0,0
-1.02,-1.8,-0.24,-1.03,-1.93,-0.13,0.397959183673469,-2.56307692307692,0.459183673469388,-2.24311111111111,1,1
-0.24,-0.76,0.28,-0.2,-0.55,0.15,0.26530612244898,-0.904615384615384,0.178571428571429,-1.12,0,0
-0.93,-1.46,-0.41,-0.94,-1.35,-0.53,0.267857142857143,-3.472,0.209183673469388,-4.49365853658537,1,1
-0.69,-1.22,-0.17,-0.72,-1.12,-0.31,0.267857142857143,-2.576,0.206632653061224,-3.48444444444444,1,1
